disease,n,p,k,temperature,humidity,ph,severity_level
Anthracnose,107,57,107,25.8,63,6.2,1
Anthracnose,108,58,108,25.9,64,6.1,1
Anthracnose,109,59,109,26,65,6,1
Anthracnose,110,60,110,26.1,66,5.9,1
Anthracnose,111,61,111,26.2,67,5.8,1
Anthracnose,112,62,112,26.3,68,5.7,1
Anthracnose,113,63,113,26.4,69,5.6,1
Anthracnose,114,64,114,26.5,70,5.5,1
Dieback,100,50,100,20,60,6.5,1
Dieback,101,51,101,20.1,61,6.4,1
Dieback,102,52,102,20.2,62,6.3,1
Dieback,103,53,103,20.3,63,6.2,1
Dieback,104,54,104,20.4,64,6.1,1
Dieback,105,55,105,20.5,65,6,1
Dieback,106,56,106,20.6,66,5.9,1
Dieback,107,57,107,20.7,67,5.8,1
Dieback,108,58,108,20.8,68,5.7,1
Dieback,109,59,109,20.9,69,5.6,1
Dieback,110,60,110,21,70,5.5,1
Dieback,111,61,111,21.1,60,6.5,1
Dieback,112,62,112,21.2,61,6.4,1
Dieback,113,63,113,21.3,62,6.3,1
Dieback,114,64,114,21.4,63,6.2,1
Dieback,115,65,115,21.5,64,6.1,1
Dieback,116,66,116,21.6,65,6,1
Dieback,117,67,117,21.7,66,5.9,1
Dieback,118,68,118,21.8,67,5.8,1
Dieback,119,69,119,21.9,68,5.7,1
Dieback,120,70,120,22,69,5.6,1
Dieback,121,71,121,22.1,70,5.5,1
Dieback,122,72,122,22.2,60,6.5,1
Dieback,123,73,123,22.3,61,6.4,1
Dieback,124,74,124,22.4,62,6.3,1
Dieback,125,75,125,22.5,63,6.2,1
Dieback,126,76,126,22.6,64,6.1,1
Dieback,127,77,127,22.7,65,6,1
Dieback,128,78,128,22.8,66,5.9,1
Dieback,129,79,129,22.9,67,5.8,1
Dieback,130,80,130,23,68,5.7,1
Dieback,131,81,131,23.1,69,5.6,1
Dieback,132,82,132,23.2,70,5.5,1
Dieback,133,83,133,23.3,60,6.5,1
Dieback,134,84,134,23.4,61,6.4,1
Dieback,135,85,135,23.5,62,6.3,1
Dieback,136,86,136,23.6,63,6.2,1
Dieback,137,87,137,23.7,64,6.1,1
Dieback,138,88,138,23.8,65,6,1
Dieback,139,89,139,23.9,66,5.9,1
Dieback,140,90,140,24,67,5.8,1
Dieback,141,91,141,24.1,68,5.7,1
Dieback,142,92,142,24.2,69,5.6,1
Dieback,143,93,143,24.3,70,5.5,1
Dieback,144,94,144,24.4,60,6.5,1
Dieback,145,95,145,24.5,61,6.4,1
Dieback,146,96,146,24.6,62,6.3,1
Dieback,147,97,147,24.7,63,6.2,1
Dieback,148,98,148,24.8,64,6.1,1
Dieback,149,99,149,24.9,65,6,1
Dieback,150,100,150,25,66,5.9,1
Dieback,100,50,100,25.1,67,5.8,1
Dieback,101,51,101,25.2,68,5.7,1
Dieback,102,52,102,25.3,69,5.6,1
Dieback,103,53,103,25.4,70,5.5,1
Dieback,104,54,104,25.5,60,6.5,1
Dieback,105,55,105,25.6,61,6.4,1
Dieback,106,56,106,25.7,62,6.3,1
Dieback,107,57,107,25.8,63,6.2,1
Dieback,108,58,108,25.9,64,6.1,1
Dieback,109,59,109,26,65,6,1
Dieback,110,60,110,26.1,66,5.9,1
Dieback,111,61,111,26.2,67,5.8,1
Dieback,112,62,112,26.3,68,5.7,1
Dieback,113,63,113,26.4,69,5.6,1
Dieback,114,64,114,26.5,70,5.5,1
Root Rot,100,50,100,15,60,6.5,1
Root Rot,101,51,101,15.1,61,6.4,1
Root Rot,102,52,102,15.2,62,6.3,1
Root Rot,103,53,103,15.3,63,6.2,1
Root Rot,104,54,104,15.4,64,6.1,1
Root Rot,105,55,105,15.5,65,6,1
Root Rot,106,56,106,15.6,66,5.9,1
Root Rot,107,57,107,15.7,67,5.8,1
Root Rot,108,58,108,15.8,68,5.7,1
Root Rot,109,59,109,15.9,69,5.6,1
Root Rot,110,60,110,16,70,5.5,1
Root Rot,111,61,111,16.1,60,6.5,1
Root Rot,112,62,112,16.2,61,6.4,1
Root Rot,113,63,113,16.3,62,6.3,1
Root Rot,114,64,114,16.4,63,6.2,1
Root Rot,115,65,115,16.5,64,6.1,1
Root Rot,116,66,116,16.6,65,6,1
Root Rot,117,67,117,16.7,66,5.9,1
Root Rot,118,68,118,16.8,67,5.8,1
Root Rot,119,69,119,16.9,68,5.7,1
Root Rot,120,70,120,17,69,5.6,1
Root Rot,121,71,121,17.1,70,5.5,1
Root Rot,122,72,122,17.2,60,6.5,1
Root Rot,123,73,123,17.3,61,6.4,1
Root Rot,124,74,124,17.4,62,6.3,1
Root Rot,125,75,125,17.5,63,6.2,1
Root Rot,126,76,126,17.6,64,6.1,1
Root Rot,127,77,127,17.7,65,6,1
Root Rot,128,78,128,17.8,66,5.9,1
Root Rot,129,79,129,17.9,67,5.8,1
Root Rot,130,80,130,18,68,5.7,1
Root Rot,131,81,131,18.1,69,5.6,1
Root Rot,132,82,132,18.2,70,5.5,1
Root Rot,133,83,133,18.3,60,6.5,1
Root Rot,134,84,134,18.4,61,6.4,1
Root Rot,135,85,135,18.5,62,6.3,1
Root Rot,136,86,136,18.6,63,6.2,1
Root Rot,137,87,137,18.7,64,6.1,1
Root Rot,138,88,138,18.8,65,6,1
Root Rot,139,89,139,18.9,66,5.9,1
Root Rot,140,90,140,19,67,5.8,1
Root Rot,141,91,141,19.1,68,5.7,1
Root Rot,142,92,142,19.2,69,5.6,1
Root Rot,143,93,143,19.3,70,5.5,1
Root Rot,144,94,144,19.4,60,6.5,1
Root Rot,145,95,145,19.5,61,6.4,1
Root Rot,146,96,146,19.6,62,6.3,1
Root Rot,147,97,147,19.7,63,6.2,1
Root Rot,148,98,148,19.8,64,6.1,1
Root Rot,149,99,149,19.9,65,6,1
Root Rot,150,100,150,20,66,5.9,1
Root Rot,100,50,100,20.1,67,5.8,1
Root Rot,101,51,101,20.2,68,5.7,1
Root Rot,102,52,102,20.3,69,5.6,1
Root Rot,103,53,103,20.4,70,5.5,1
Root Rot,104,54,104,20.5,60,6.5,1
Root Rot,105,55,105,20.6,61,6.4,1
Root Rot,106,56,106,20.7,62,6.3,1
Root Rot,107,57,107,20.8,63,6.2,1
Root Rot,108,58,108,20.9,64,6.1,1
Root Rot,109,59,109,21,65,6,1
Root Rot,110,60,110,21.1,66,5.9,1
Root Rot,111,61,111,21.2,67,5.8,1
Root Rot,112,62,112,21.3,68,5.7,1
Root Rot,113,63,113,21.4,69,5.6,1
Root Rot,114,64,114,21.5,70,5.5,1
Root Rot,115,65,115,21.6,60,6.5,1
Root Rot,116,66,116,21.7,61,6.4,1
Root Rot,117,67,117,21.8,62,6.3,1
Root Rot,118,68,118,21.9,63,6.2,1
Root Rot,119,69,119,22,64,6.1,1
Root Rot,120,70,120,22.1,65,6,1
Root Rot,121,71,121,22.2,66,5.9,1
Root Rot,122,72,122,22.3,67,5.8,1
Root Rot,123,73,123,22.4,68,5.7,1
Root Rot,124,74,124,22.5,69,5.6,1
Root Rot,125,75,125,22.6,70,5.5,1
Root Rot,126,76,126,22.7,60,6.5,1
Root Rot,127,77,127,22.8,61,6.4,1
Root Rot,128,78,128,22.9,62,6.3,1
Root Rot,129,79,129,23,63,6.2,1
Root Rot,130,80,130,23.1,64,6.1,1
Root Rot,131,81,131,23.2,65,6,1
Root Rot,132,82,132,23.3,66,5.9,1
Root Rot,133,83,133,23.4,67,5.8,1
Root Rot,134,84,134,23.5,68,5.7,1
Root Rot,135,85,135,23.6,69,5.6,1
Root Rot,136,86,136,23.7,70,5.5,1
Root Rot,137,87,137,23.8,60,6.5,1
Root Rot,138,88,138,23.9,61,6.4,1
Root Rot,139,89,139,24,62,6.3,1
Root Rot,140,90,140,24.1,63,6.2,1
Root Rot,141,91,141,24.2,64,6.1,1
Root Rot,142,92,142,24.3,65,6,1
Root Rot,143,93,143,24.4,66,5.9,1
Root Rot,144,94,144,24.5,67,5.8,1
Root Rot,145,95,145,24.6,68,5.7,1
Root Rot,146,96,146,24.7,69,5.6,1
Root Rot,147,97,147,24.8,70,5.5,1
Root Rot,148,98,148,24.9,60,6.5,1
Root Rot,149,99,149,25,61,6.4,1
Root Rot,100,50,100,30,60,6.5,1
Root Rot,101,51,101,30.1,61,6.4,1
Root Rot,102,52,102,30.2,62,6.3,1
Root Rot,103,53,103,30.3,63,6.2,1
Root Rot,104,54,104,30.4,64,6.1,1
Root Rot,105,55,105,30.5,65,6,1
Root Rot,106,56,106,30.6,66,5.9,1
Root Rot,107,57,107,30.7,67,5.8,1
Root Rot,108,58,108,30.8,68,5.7,1
Root Rot,109,59,109,30.9,69,5.6,1
Root Rot,110,60,110,31,70,5.5,1
Root Rot,111,61,111,31.1,60,6.5,1
Root Rot,112,62,112,31.2,61,6.4,1
Root Rot,113,63,113,31.3,62,6.3,1
Root Rot,114,64,114,31.4,63,6.2,1
Root Rot,115,65,115,31.5,64,6.1,1
Root Rot,116,66,116,31.6,65,6,1
Root Rot,117,67,117,31.7,66,5.9,1
Root Rot,118,68,118,31.8,67,5.8,1
Root Rot,119,69,119,31.9,68,5.7,1
Root Rot,120,70,120,32,69,5.6,1
Root Rot,121,71,121,32.1,70,5.5,1
Root Rot,122,72,122,32.2,60,6.5,1
Root Rot,123,73,123,32.3,61,6.4,1
Root Rot,124,74,124,32.4,62,6.3,1
Root Rot,125,75,125,32.5,63,6.2,1
Root Rot,126,76,126,32.6,64,6.1,1
Root Rot,127,77,127,32.7,65,6,1
Root Rot,128,78,128,32.8,66,5.9,1
Root Rot,129,79,129,32.9,67,5.8,1
Root Rot,130,80,130,33,68,5.7,1
Root Rot,131,81,131,33.1,69,5.6,1
Root Rot,132,82,132,33.2,70,5.5,1
Root Rot,133,83,133,33.3,60,6.5,1
Root Rot,134,84,134,33.4,61,6.4,1
Root Rot,135,85,135,33.5,62,6.3,1
Root Rot,136,86,136,33.6,63,6.2,1
Root Rot,137,87,137,33.7,64,6.1,1
Root Rot,138,88,138,33.8,65,6,1
Root Rot,139,89,139,33.9,66,5.9,1
Root Rot,140,90,140,34,67,5.8,1
Root Rot,141,91,141,34.1,68,5.7,1
Root Rot,142,92,142,34.2,69,5.6,1
Root Rot,143,93,143,34.3,70,5.5,1
Root Rot,144,94,144,34.4,60,6.5,1
Root Rot,145,95,145,34.5,61,6.4,1
Root Rot,146,96,146,34.6,62,6.3,1
Root Rot,147,97,147,34.7,63,6.2,1
Root Rot,148,98,148,34.8,64,6.1,1
Root Rot,149,99,149,34.9,65,6,1
Root Rot,150,100,150,35,66,5.9,1
Root Rot,100,50,100,35.1,67,5.8,1
Root Rot,101,51,101,35.2,68,5.7,1
Root Rot,102,52,102,35.3,69,5.6,1
Root Rot,103,53,103,35.4,70,5.5,1
Root Rot,104,54,104,35.5,60,6.5,1
Root Rot,105,55,105,35.6,61,6.4,1
Root Rot,106,56,106,35.7,62,6.3,1
Root Rot,107,57,107,35.8,63,6.2,1
Root Rot,108,58,108,35.9,64,6.1,1
Root Rot,109,59,109,36,65,6,1
Root Rot,110,60,110,36.1,66,5.9,1
Root Rot,111,61,111,36.2,67,5.8,1
Root Rot,112,62,112,36.3,68,5.7,1
Root Rot,113,63,113,36.4,69,5.6,1
Root Rot,114,64,114,36.5,70,5.5,1
Root Rot,115,65,115,36.6,60,6.5,1
Root Rot,116,66,116,36.7,61,6.4,1
Root Rot,117,67,117,36.8,62,6.3,1
Root Rot,118,68,118,36.9,63,6.2,1
Root Rot,119,69,119,37,64,6.1,1
Root Rot,120,70,120,37.1,65,6,1
Root Rot,121,71,121,37.2,66,5.9,1
Root Rot,122,72,122,37.3,67,5.8,1
Root Rot,123,73,123,37.4,68,5.7,1
Root Rot,124,74,124,37.5,69,5.6,1
Root Rot,125,75,125,37.6,70,5.5,1
Root Rot,126,76,126,37.7,60,6.5,1
Root Rot,127,77,127,37.8,61,6.4,1
Root Rot,128,78,128,37.9,62,6.3,1
Root Rot,129,79,129,38,63,6.2,1
Root Rot,130,80,130,38.1,64,6.1,1
Root Rot,131,81,131,38.2,65,6,1
Root Rot,132,82,132,38.3,66,5.9,1
Root Rot,133,83,133,38.4,67,5.8,1
Root Rot,134,84,134,38.5,68,5.7,1
Root Rot,135,85,135,38.6,69,5.6,1
Root Rot,136,86,136,38.7,70,5.5,1
Root Rot,137,87,137,38.8,60,6.5,1
Root Rot,138,88,138,38.9,61,6.4,1
Root Rot,139,89,139,39,62,6.3,1
Root Rot,140,90,140,39.1,63,6.2,1
Root Rot,141,91,141,39.2,64,6.1,1
Root Rot,142,92,142,39.3,65,6,1
Root Rot,143,93,143,39.4,66,5.9,1
Root Rot,144,94,144,39.5,67,5.8,1
Root Rot,145,95,145,39.6,68,5.7,1
Root Rot,146,96,146,39.7,69,5.6,1
Root Rot,147,97,147,39.8,70,5.5,1
Root Rot,148,98,148,39.9,60,6.5,1
Root Rot,149,99,149,40,61,6.4,1
Nutrient Deficiency,100,50,100,20,60,6.5,1
Nutrient Deficiency,101,51,101,20.1,61,6.4,1
Nutrient Deficiency,102,52,102,20.2,62,6.3,1
Nutrient Deficiency,103,53,103,20.3,63,6.2,1
Nutrient Deficiency,104,54,104,20.4,64,6.1,1
Nutrient Deficiency,105,55,105,20.5,65,6,1
Nutrient Deficiency,106,56,106,20.6,66,5.9,1
Nutrient Deficiency,107,57,107,20.7,67,5.8,1
Nutrient Deficiency,108,58,108,20.8,68,5.7,1
Nutrient Deficiency,109,59,109,20.9,69,5.6,1
Nutrient Deficiency,110,60,110,21,70,5.5,1
Nutrient Deficiency,111,61,111,21.1,60,6.5,1
Nutrient Deficiency,112,62,112,21.2,61,6.4,1
Nutrient Deficiency,113,63,113,21.3,62,6.3,1
Nutrient Deficiency,114,64,114,21.4,63,6.2,1
Nutrient Deficiency,115,65,115,21.5,64,6.1,1
Nutrient Deficiency,116,66,116,21.6,65,6,1
Nutrient Deficiency,117,67,117,21.7,66,5.9,1
Nutrient Deficiency,118,68,118,21.8,67,5.8,1
Nutrient Deficiency,119,69,119,21.9,68,5.7,1
Nutrient Deficiency,120,70,120,22,69,5.6,1
Nutrient Deficiency,121,71,121,22.1,70,5.5,1
Nutrient Deficiency,122,72,122,22.2,60,6.5,1
Nutrient Deficiency,123,73,123,22.3,61,6.4,1
Nutrient Deficiency,124,74,124,22.4,62,6.3,1
Nutrient Deficiency,125,75,125,22.5,63,6.2,1
Nutrient Deficiency,126,76,126,22.6,64,6.1,1
Nutrient Deficiency,127,77,127,22.7,65,6,1
Nutrient Deficiency,128,78,128,22.8,66,5.9,1
Nutrient Deficiency,129,79,129,22.9,67,5.8,1
Nutrient Deficiency,130,80,130,23,68,5.7,1
Nutrient Deficiency,131,81,131,23.1,69,5.6,1
Nutrient Deficiency,132,82,132,23.2,70,5.5,1
Nutrient Deficiency,133,83,133,23.3,60,6.5,1
Nutrient Deficiency,134,84,134,23.4,61,6.4,1
Nutrient Deficiency,135,85,135,23.5,62,6.3,1
Nutrient Deficiency,136,86,136,23.6,63,6.2,1
Nutrient Deficiency,137,87,137,23.7,64,6.1,1
Nutrient Deficiency,138,88,138,23.8,65,6,1
Nutrient Deficiency,139,89,139,23.9,66,5.9,1
Nutrient Deficiency,140,90,140,24,67,5.8,1
Nutrient Deficiency,141,91,141,24.1,68,5.7,1
Nutrient Deficiency,142,92,142,24.2,69,5.6,1
Nutrient Deficiency,143,93,143,24.3,70,5.5,1
Nutrient Deficiency,144,94,144,24.4,60,6.5,1
Nutrient Deficiency,145,95,145,24.5,61,6.4,1
Nutrient Deficiency,146,96,146,24.6,62,6.3,1
Nutrient Deficiency,147,97,147,24.7,63,6.2,1
Nutrient Deficiency,148,98,148,24.8,64,6.1,1
Nutrient Deficiency,149,99,149,24.9,65,6,1
Nutrient Deficiency,150,100,150,25,66,5.9,1
Nutrient Deficiency,100,50,100,25.1,67,5.8,1
Nutrient Deficiency,101,51,101,25.2,68,5.7,1
Nutrient Deficiency,102,52,102,25.3,69,5.6,1
Nutrient Deficiency,103,53,103,25.4,70,5.5,1
Nutrient Deficiency,104,54,104,25.5,60,6.5,1
Nutrient Deficiency,105,55,105,25.6,61,6.4,1
Nutrient Deficiency,106,56,106,25.7,62,6.3,1
Nutrient Deficiency,107,57,107,25.8,63,6.2,1
Nutrient Deficiency,108,58,108,25.9,64,6.1,1
Nutrient Deficiency,109,59,109,26,65,6,1
Nutrient Deficiency,110,60,110,26.1,66,5.9,1
Nutrient Deficiency,111,61,111,26.2,67,5.8,1
Nutrient Deficiency,112,62,112,26.3,68,5.7,1
Nutrient Deficiency,113,63,113,26.4,69,5.6,1
Nutrient Deficiency,114,64,114,26.5,70,5.5,1
Nutrient Deficiency,115,65,115,26.6,60,6.5,1
Nutrient Deficiency,116,66,116,26.7,61,6.4,1
Nutrient Deficiency,117,67,117,26.8,62,6.3,1
Nutrient Deficiency,118,68,118,26.9,63,6.2,1
Nutrient Deficiency,119,69,119,27,64,6.1,1
Nutrient Deficiency,120,70,120,27.1,65,6,1
Nutrient Deficiency,121,71,121,27.2,66,5.9,1
Nutrient Deficiency,122,72,122,27.3,67,5.8,1
Nutrient Deficiency,123,73,123,27.4,68,5.7,1
Nutrient Deficiency,124,74,124,27.5,69,5.6,1
